name,period,cat_period,epoch,cat_epoch,duration,cat_duration,label
K00248.02,10.91269399154183,10.91274065,137.11258796248285,169.85247,0.08175374999999992,0.0908374999999999,1
K00248.03,2.5765443507187324,2.576571021,133.48541942081619,172.126911,0.0666541666666666,0.0666541666666666,1
K00248.04,18.010782134552954,18.59611518,145.03149358748286,141.26331,0.13446999999999998,0.09605,1
K02498.01,6.7378301596730585,6.73808701,133.35855678199545,133.32953,0.07557083333333331,0.1079583333333333,1
K02498.02,13.059509437317361,13.0600399,144.35978803199544,144.33107,0.1425499999999999,0.1187916666666666,1
K02499.01,7.575267649796715,7.57571414,176.1441314808893,138.2166,0.09820833333333331,0.0982083333333333,0
K02501.01,4.768955175636877,4.76887671,122.54880011078166,132.09888,0.06269999999999994,0.0696666666666666,0
K02573.01,1.3475113461212178,1.347512632,353.1199574051835,132.127858,0.05779958333333331,0.0825708333333333,0
K02574.01,0.5125805920641976,0.512581697,131.78169593608845,132.80609,0.0657875,0.0657875,0
K02576.01,12.076841065693785,12.07760884,140.50986555616745,140.46287,0.12095416666666658,0.0930416666666666,0
K02651.01,6.382966652463027,6.38315744,355.7342506935524,132.30539,0.06403124999999997,0.0711458333333333,0
K00255.01,27.522033159582598,27.52194772,134.7755158436363,189.824523,0.1686249999999999,0.1686249999999999,1
K00255.03,7.702512802406627,7.7333361,132.79331584363632,133.58981,0.17543749999999997,0.1169583333333333,0
K02652.01,16.13184084617224,16.1289679,143.62384100648887,143.75518,0.28742083333333324,0.2612916666666666,1
K02654.01,13.56283446975845,13.5631157,140.6771340381719,140.65364,0.18126666666666663,0.2265833333333333,1
K02655.01,16.296205926642024,16.2959916,133.90130034775848,133.90784,0.07934999999999995,0.0881666666666666,1
K02426.01,4.160485911663393,4.16056658,132.28486979899438,132.27418,0.09787499999999992,0.1087499999999999,1
K02427.01,2.9310494157758287,2.93101771,131.92165392863734,131.92959,0.08366249999999997,0.0929583333333333,0
K00245.01,42.60894758248064,39.79220077,127.85259385450078,175.250558,0.1302583333333333,0.1860833333333333,1
K00245.02,21.299104788360548,21.30181863,128.03369885450078,191.84136,0.193815,0.1615125,1
K00245.03,13.712319569270598,13.3669309,131.9951626045008,184.0734,0.23331249999999992,0.1555416666666666,1
K00245.04,54.843432311572,51.20690303,173.24339385450077,195.7303,0.44949999999999996,0.3745833333333333,1
K02428.01,16.230210643862982,16.2276756,355.84230388344105,136.62586,0.21577499999999986,0.1541249999999999,0
K02429.01,1.5956355293885511,1.595630597,132.94237066667694,136.13782,0.044824999999999976,0.0747083333333333,0
K02503.01,14.8204363463853,14.8200596,133.37367717726698,133.39933,0.13006666666666664,0.1625833333333333,1
K02504.01,20.492982184257734,20.49041,369.73679755079826,144.41979,0.16383749999999994,0.1820416666666666,1
K02505.01,0.9628170444152716,0.962827066,132.21206330998683,132.20517,0.1306666666666666,0.1866666666666666,0
K02505.02,12.408202296730092,12.4246697,143.26406330998685,134.0396,0.9181249999999999,1.83625,0
K02506.01,8.67897598490375,8.679037,132.23111649170318,140.90423,0.10739999999999997,0.1193333333333333,1
K02507.01,11.12985397062101,11.1296971,138.5666232802525,138.57573,0.1225833333333333,0.1225833333333333,1
K02579.01,2.729587634405004,2.7296036,133.29201319235466,133.28661,0.113375,0.113375,1
K02579.02,3.5964225175073223,3.59645081,132.77600069235464,132.77209,0.110875,0.110875,1
K02580.01,3.116076022588091,3.11604194,171.2376712197332,133.84988,0.0740125,0.0740125,1
K02581.01,12.736611799163658,12.7372371,123.3159591247979,136.0162,0.11193333333333329,0.1399166666666666,1
K02582.01,40.03513736592707,40.0306267,148.77552739069168,148.85882,0.12037500000000001,0.200625,1
K02668.01,0.6793386824874814,0.679336747,132.17569087613336,132.856178,0.04570499999999997,0.0507833333333333,1
K02669.01,232.19601025386925,213.6103207,258.0598576161283,141.655562,0.6279174999999999,0.4485125,0
K02670.01,187.27722622417392,170.8658492,291.2496608611468,299.660385,0.42473749999999993,0.7078958333333333,0
K02672.01,86.20542349538056,88.5122014,206.20395115103432,182.67266,0.39791499999999985,0.2842249999999999,1
K02672.02,39.351762499109036,42.9923284,123.99442365103435,162.50532,0.2756833333333332,0.1969166666666666,1
K02430.01,10.215411973922668,10.21507506,358.359105645879,133.64546,0.12731249999999997,0.1414583333333333,0
K02431.01,8.37226053254667,8.3806973,352.7947541655857,134.7287,0.13878333333333326,0.1261666666666666,0
K02432.01,31.05553410710894,31.0572947,147.6101696549533,147.56275,0.12753749999999997,0.1417083333333333,1
K02432.02,86.38326991372871,93.6273251,176.7041029882866,222.5881699,0.11199999999999985,0.0799999999999999,0
K02433.01,15.159940501359383,15.1622287,356.85809553383416,144.474,0.21385,0.3055,1
K02433.02,10.045038170877051,10.04378351,353.54207053383413,353.61859,0.18493333333333328,0.2311666666666666,1
K02433.05,0.6467413075185253,0.646745436,352.57352053383414,132.02582,0.0494999999999999,0.0494999999999999,0
K02433.03,56.42849093927698,56.4148314,388.6511809505008,163.128,0.23552083333333335,0.3364583333333333,1
K02509.01,4.551449157807335,4.5513988,133.05319991746018,133.05954,0.0921375,0.102375,1
K02510.01,12.212105495534075,12.2141545,141.49604078696322,141.3677,0.25654999999999994,0.4275833333333333,0
K02511.01,3.73228030929967,3.732261,131.93166161720796,131.93795,0.08558333333333332,0.0855833333333333,0
K02583.01,3.032668112198035,3.03267135,121.94012048902195,134.0668,0.0739166666666666,0.0739166666666666,1
K02583.02,234.29903693430708,251.7512,342.5935621556886,271.06864,0.14379999999999998,0.17975,0
K02585.01,5.3417963614940485,5.34182466,125.63646199333245,136.3186,0.13413749999999994,0.1490416666666666,1
K02585.02,10.684121799672008,10.42317343,125.59677240999912,135.15208,0.13655833333333323,0.0975416666666666,1
K02586.01,2.1319521384593094,2.131945045,353.2402039946321,133.65547,0.06772874999999993,0.0752541666666666,1
K02586.02,6.395686086927542,5.9703813,353.2559073279654,356.5416,0.0418125,0.027875,0
K02587.01,12.942903404454682,12.9462567,139.6051398750278,139.4165,0.3189333333333333,0.3986666666666666,1
K02588.01,5.779476239895131,5.77957133,136.54416223852206,136.53014,0.09454874999999993,0.1050541666666666,1
K02658.01,11.659055490167095,11.6601667,140.6787402770782,140.62189,0.1715583333333333,0.2450833333333333,1
K02659.01,87.93287274833799,89.465468,175.39402696188296,170.8426,0.32933333333333337,0.4116666666666667,0
K02660.01,18.01591167067462,18.0161227,145.25852739850197,145.24169,0.16733333333333328,0.1673333333333333,1
K02434.01,40.870464012584165,40.8777605,199.32529057856354,163.43477,0.24362499999999992,0.4060416666666666,0
K02435.01,6.8023720759015465,6.80243431,132.41111406768226,132.40355,0.11132916666666662,0.1590416666666666,0
K02436.01,89.56218406458768,84.5733346,135.23329081551304,150.152,0.19206666666666664,0.2400833333333333,1
K02437.01,4.148019986468615,4.14789051,135.4926343556511,135.53291,0.14358749999999995,0.1595416666666666,1
K02513.01,19.0064643536571,19.0054098,144.1097357699562,144.15574,0.09214999999999993,0.0767916666666666,1
K02514.01,1.9643433906997176,1.96433113,353.6172983956576,131.65195,0.08928749999999996,0.0992083333333333,0
K02517.01,0.9685290736126314,0.968527683,132.47793849368654,131.50954,0.05126999999999995,0.0569666666666666,1
K02589.01,0.6640767622443347,0.664074145,132.0743090981789,133.40285,0.0455208333333333,0.0455208333333333,1
K02590.01,11.39552032941762,11.7489907,123.04025945972545,135.68045,0.23584166666666662,0.1684583333333333,0
K00004.01,3.8492846134361725,3.849371737,122.89682296546911,157.526686,0.1096666666666666,0.1096666666666666,1
K00033.01,0.3661972782532697,0.366197145,120.74174775643267,133.55969,0.04625624999999997,0.0513958333333333,0
K00251.01,4.164388373266098,4.164384505,133.608155087518,171.087935,0.0769333333333333,0.0769333333333333,1
K00251.02,6.246701806809854,5.77440326,133.59280508751803,132.96695,0.08103333333333326,0.0736666666666666,1
K02662.01,2.1043335443498137,2.10433534,133.3184759747674,133.31612,0.04187999999999997,0.0465333333333333,1
K02664.01,28.849014895718643,28.8431751,172.50035377038148,143.82307,0.18497499999999997,0.132125,1
K00256.01,1.378655876538588,1.378649746,132.55465099802197,169.780113,0.04586999999999994,0.0509666666666666,0
K02665.01,1.112202916179185,1.112207126,131.85228553805385,131.8505,0.0675,0.05625,0
K02667.01,1.3035651970950803,1.303576682,131.7783212081859,133.0758,0.0425416666666666,0.0425416666666666,0
K02438.01,1.9585799859443387,1.958577398,171.43252376943036,132.26115,0.08954999999999991,0.0994999999999999,0
K02439.01,5.191301540023447,5.19103699,353.2063214073188,135.21628,0.15832499999999997,0.1759166666666666,1
K02440.01,4.866523813279932,4.86638504,133.99558680389538,134.01501,0.10523333333333325,0.0956666666666666,1
