model_name,accuracy_score,recall,precision,f1_score,epochs,batch_size,threshold,noise_std
ExoVetNet-1785552712.3285263,0.8973451327433628,0.8725961538461539,0.852112676056338,0.8622327790973872,20,64,0.5,0.0
ExoVetNet-1785637568.1608007,0.9230088495575222,0.9004854368932039,0.8896882494004796,0.8950542822677925,20,64,0.5,0.0
ExoVetNet-1785637680.0581448,0.9230088495575222,0.9004854368932039,0.8896882494004796,0.8950542822677925,20,64,0.5,0.0
ExoVetNet-1785637927.5755818,0.9230088495575222,0.9004854368932039,0.8896882494004796,0.8950542822677925,20,64,0.5,0.0
ExoVetNet-1785638059.410228,0.9230088495575222,0.9004854368932039,0.8896882494004796,0.8950542822677925,20,64,0.5,0.0
ExoVetNet-1785638329.7387338,0.9230088495575222,0.9004854368932039,0.8896882494004796,0.8950542822677925,20,64,0.5,0.0
ExoVetNet-1785638397.6313484,0.9230088495575222,0.9004854368932039,0.8896882494004796,0.8950542822677925,20,64,0.5,0.0
ExoVetNet-1785681570.7821908,0.8946135831381733,0.8646288209606987,0.8443496801705757,0.8543689320388349,20,64,0.5,0.0
ExoVetNet-1785681570.7821908,0.8899297423887588,0.9002169197396963,0.8137254901960784,0.854788877445932,20,64,0.5,0.0
ExoVetNet-1785681570.7821908,0.8969555035128806,0.8494623655913979,0.8643326039387309,0.8568329718004338,20,64,0.5,0.0
ExoVetNet-1785681570.7821908,0.8899297423887588,0.8640167364016736,0.8445807770961146,0.8541882109617374,20,64,0.5,0.0
ExoVetNet-1785681570.7821908,0.8891491022638564,0.8553191489361702,0.8445378151260504,0.8498942917547568,20,64,0.5,0.0
ExoVetNet-1785681570.7821908,0.8867256637168142,0.8446601941747572,0.8446601941747572,0.8446601941747572,20,64,0.5,0.0
ExoVetNet-1785687955.8920507,0.8867256637168142,0.8446601941747572,0.8446601941747572,0.8446601941747572,20,64,0.5,0.0
