kepid,name,label,period,epoch,duration,depth,p_rad
8866137,K02074.01,1,33.4178173,155.58781,0.19354166666666664,1166.8,3.13
10857519,K02075.01,1,2.053341891,134.51606,0.10816666666666666,65.5,1.44
9517393,K02076.01,1,56.7769831,181.09789,0.286,884.3,3.21
9351316,K02078.01,1,18.78429232,137.88207,0.1297333333333333,1009.5,2.14
6021193,K02148.03,1,3.61460279,134.69521,0.13445833333333332,64.8,1.14
10617017,K02149.01,1,13.15140223,144.16237,0.226625,97.8,1.87
3229150,K02150.01,1,18.5084526,131.54555,0.2748333333333333,758.9,29.33
7989422,K02151.01,0,7.47763833,133.40976,0.10705416666666667,110.0,2.05
9641481,K02152.01,1,42.1918331,155.31211,0.29512499999999997,488.7,2.35
8892157,K02224.01,1,3.73090026,132.89428,0.12122916666666667,191.2,1.48
11569782,K02225.01,1,2.787874175,133.90417,0.08478333333333334,197.4,2.33
4833421,K00232.04,1,37.9962369,162.97984,0.2822958333333333,403.7,2.39
7219825,K00238.01,1,17.23232894,135.0922,0.18986666666666666,509.8,2.79
3749978,K02308.01,1,28.5057217,132.92075,0.26349999999999996,755.8,2.55
10010440,K02309.01,1,53.5991459,147.43015,0.28379166666666666,523.1,2.49
11718144,K02310.01,1,16.4581861,134.01969,0.08182083333333333,435.8,1.82
9473078,K02079.01,1,0.693842661,132.18157,0.06748749999999999,49.3,0.83
10864531,K02080.01,1,83.4887405,188.53792,0.25875,955.4,2.95
10864531,K02080.02,1,34.0607677,141.35928,0.10295833333333333,818.9,2.96
9472000,K02082.01,1,31.5888979,155.61538,0.14325,360.6,2.59
10253547,K02153.01,1,59.9809868,176.14903,0.31616666666666665,282.4,2.81
10253547,K02153.02,1,25.7457957,135.94806,0.29470833333333335,140.3,1.73
12505076,K02154.01,1,11.92979348,136.66919,0.2563333333333333,709.3,2.43
12116380,K02155.01,1,4.3394569,132.80309,0.09855,337.4,2.11
2556650,K02156.01,1,2.852348262,132.044534,0.029379166666666665,1402.9,1.66
10600955,K02227.01,1,65.6480892,173.30166,0.23941666666666667,588.7,3.93
10801100,K02228.01,0,102.653705,222.9895,2.2328625,687.3,39.16
4473226,K02229.01,1,14.83340944,135.44213,0.163625,783.0,2.54
8914779,K02230.01,0,0.987338654,131.88155,0.10795833333333334,26.5,0.98
2854181,K02232.01,1,101.1323475,210.18316,0.18191666666666664,1502.9,3.87
8963721,K02233.01,0,1.811460943,132.93207,0.21104166666666668,428.5,2.83
10132832,K02313.01,1,16.07673148,143.39091,0.091875,488.0,2.14
3219995,K02314.01,1,18.87058705,143.95639,0.14458749999999998,588.0,2.67
6062929,K02315.01,1,22.1334224,152.18405,0.08537499999999999,654.6,1.76
7504778,K02316.01,1,17.1369408,141.01497,0.2673333333333333,362.1,2.05
7219825,K00238.02,1,26.6951944,143.9999,0.19066666666666665,132.6,1.4
7097965,K02083.01,1,7.72085047,136.563,0.0761,267.0,2.53
4249725,K00222.01,1,6.312508525,132.654418,0.11439583333333332,1286.0,2.0
3967326,K02084.01,1,4.19577385,135.17605,0.08982083333333332,874.2,3.02
6768394,K02086.01,1,7.1329472,135.99259,0.182,145.0,1.64
6768394,K02086.02,1,8.91901228,140.0777,0.17254166666666665,180.6,1.84
5211199,K02158.01,1,4.5620407,132.64295,0.1188375,81.6,2.82
8804455,K02159.02,0,2.392630668,133.7861,0.057104166666666664,101.5,1.33
5546761,K02160.01,1,17.6700291,131.60103,0.278875,348.4,2.89
9205938,K02162.01,1,108.593113,173.75198,0.332875,338.2,1.68
10723367,K02236.01,1,19.9865916,135.52265,0.18295833333333333,648.0,4.22
10723367,K02236.02,1,12.12580644,142.10763,0.13704166666666667,327.5,2.5
5005121,K02237.01,1,76.421501,164.4879,0.30074999999999996,578.4,2.81
4833421,K00232.05,1,56.2590881,164.21993,0.33808333333333335,348.8,2.22
8229458,K02238.01,1,1.646801683,132.0615,0.04985833333333334,284.2,0.86
10684670,K02317.01,1,3.78861833,134.61419,0.11699999999999999,143.4,1.23
11495458,K02318.01,1,10.45839865,137.65416,0.13141666666666665,306.8,1.25
9003401,K02319.01,1,21.1033014,144.66035,0.08579166666666667,192.5,1.56
5978559,K02321.01,1,95.6114617,138.35664,0.31204166666666666,487.4,2.37
6768394,K02086.03,1,11.8984948,133.34685,0.125625,130.9,1.69
6922710,K02087.01,1,23.1274171,145.66194,0.20420833333333333,157.3,1.44
11348997,K02090.01,1,5.132486123,132.15985,0.06072916666666667,908.4,1.69
5705819,K02091.01,1,8.77997349,138.48383,0.13417083333333332,755.7,2.12
6696580,K02092.01,1,57.6896212,139.92753,0.21325,1626.6,5.14
11358389,K02163.01,1,10.66489514,132.00872,0.131625,292.6,1.76
7204981,K02164.01,1,5.1233204,132.08472,0.11444166666666666,286.2,1.65
3847907,K00229.01,1,3.573202801,134.934397,0.12,2975.0,5.81
4370527,K02166.01,1,61.6174528,179.08282,0.15899999999999997,1350.7,3.36
6041734,K02167.01,1,24.3398202,136.05813,0.162125,777.3,5.09
5125347,K02241.01,1,7.16520428,132.96921,0.07104166666666667,433.8,2.31
9336200,K02242.01,1,1.755843555,133.15509,0.0809375,386.0,1.94
4770617,K02243.01,1,5.18560081,132.32455,0.16891666666666666,252.6,2.34
4454934,K02245.01,1,33.4698571,140.14977,0.19787499999999997,370.7,2.45
9458343,K02246.01,1,11.89520436,132.8908,0.14304166666666665,184.3,1.33
7120108,K02325.01,1,1.025857984,131.655621,0.03362083333333333,270.7,1.57
10730703,K02327.01,1,5.60013327,135.96495,0.11044999999999999,329.2,1.73
8007644,K02328.01,1,25.2034128,137.56393,0.188125,697.1,2.42
11192235,K02329.01,1,1.615357809,132.7846,0.04764583333333333,499.6,1.37
6383785,K00239.01,1,5.640676975,138.556259,0.11814166666666666,1453.3,4.59
6696580,K02092.02,1,25.5638626,375.27811,0.19520833333333332,1124.9,4.0
4249725,K00222.02,1,12.7945474,130.7668,0.1424875,816.7,1.6
8505920,K02094.01,1,42.4269647,156.17194,0.24612499999999998,632.4,3.44
